"GENOTYPE","Bernburg.2014.OPT","Blois.2014.OPT","Blois.2014.WD","Campagnola.2012.WD","Campagnola.2012.OPT","Campagnola.2013.WD","Campagnola.2013.OPT","Craiova.2012.WD","Craiova.2012.OPT","Debrecen.2012.WD","Debrecen.2012.OPT","Debrecen.2013.WD","Gaillac.2012.OPT","Gaillac.2013.WD","Gaillac.2013.OPT","Graneros.2013.WD","Graneros.2013.OPT","Karlsruhe.2012.WD","Karlsruhe.2012.OPT","Karlsruhe.2013.WD","Karlsruhe.2013.OPT","Martonvasar.2013.WD","Martonvasar.2013.OPT","Murony.2013.WD","Murony.2013.OPT","Nerac.2012.WD","Nerac.2012.OPT","Nerac.2013.WD","Nerac.2013.OPT"
"11430",92.53,93.24,93.39,13.14055011,32.83665272,27.77098004,56.16765889,6.38497455,30.29268623,52.8533457,56.61113596,62.94414497,117.1163624,69.9842909,104.2889881,60.6240874,93.02727174,100.1039985,101.6921278,107.1508779,86.66094066,79.48506487,91.93904946,52.62432964,54.94305426,52.21920913,105.6959407,28.87707058,65.11489617
"A3",68.89,87.35,101.18,14.97625966,27.45517588,26.2770645,34.32006577,8.21101216,22.05008092,46.39094467,65.96566278,63.69833653,113.1896638,71.11711469,101.9950704,56.74953218,103.538806,71.86929526,70.27740553,101.1097161,79.9873062,63.60599782,93.41818582,67.15516629,67.44205241,42.38994845,87.07242998,37.74088258,64.7487595
"A310",75.16,68.96,79.5,27.64418895,54.14802938,45.68548128,58.58112817,28.24467744,51.48530511,53.59083342,69.10851041,58.0955645,111.5036752,71.02631415,87.96404008,54.90507839,70.17508015,61.72540707,89.97311572,62.26092935,50.84650338,59.70269868,93.51762448,47.85029396,43.37370554,43.48472681,90.73747002,35.29775244,55.69633953
"A347",70.87,84.19,79.52,18.12478062,41.54911873,23.62022803,32.42820953,18.98919672,53.95401293,51.53844773,61.27174744,45.64855812,97.60317393,69.37068727,70.11671993,52.52328835,78.15782976,74.51119099,69.760729,61.52649194,70.25681759,71.33537027,84.50946734,47.1833267,53.22318995,41.37888877,55.62796208,41.04215776,45.09721715
"A374",100.97,89.85,79.73,28.57257337,58.84222399,49.46661926,64.35317227,28.77970002,60.51951036,60.47026734,62.43002991,55.5777066,111.7428952,75.12429152,95.21128235,72.477746,61.39741523,105.7870399,107.0883254,100.3027806,84.80999511,82.58010536,119.2550793,76.8259787,79.37279681,50.48225873,79.39639881,40.99262073,54.35795257
"A375",88.46,NA,NA,28.38816121,57.62800836,40.73191514,50.44163907,6.73370444,45.38554079,59.64189392,67.14646192,51.27101393,108.6226605,72.38039686,96.04673845,65.42902602,102.8424379,85.61138489,79.79773264,90.34033207,83.25890917,73.53976197,101.2146094,64.59439566,72.01060492,56.1760898,93.71907498,41.85523014,71.7527527
"A554",78.55,80.16,67.95,13.80483487,23.00044099,38.21206328,49.89159702,14.90151375,31.82585954,46.23267461,58.95767525,45.91731746,98.61330578,62.51415409,79.74804934,68.36200216,82.49350326,83.16715148,84.44087276,81.39815921,69.44728845,78.1726768,93.68283952,46.21698587,62.78531639,44.44781832,70.73566677,32.29491895,61.91055878
"AS5707",91.63,92.63,NA,14.51222986,37.37203601,36.73621505,61.27888092,14.27500147,46.01872628,50.2233522,52.67390801,81.79614191,115.7013147,94.33176819,131.94207,73.55452403,111.8834748,97.88565722,85.7034828,124.5673298,95.49789965,83.72308534,115.1274581,78.55279254,80.59018611,58.09210262,94.65907067,46.07978927,92.1084412
"B100",83.6,NA,NA,20.0668933,49.73144678,41.32634547,51.41746017,11.49448234,42.86523965,51.7882174,64.32522929,54.7127187,120.196766,83.59702307,107.2265234,70.5264947,100.1839081,95.37822695,87.55768744,102.2206124,86.10846327,79.14652909,123.5198712,80.25328391,73.36327766,47.43353574,84.76538693,38.90264273,81.32160347
"B104",96.47,96.48,87.46,13.23551552,40.75766145,34.7147299,48.95833807,17.13993532,42.42470434,62.07428706,64.42229855,67.11289115,114.0166721,84.33239918,110.5219387,65.96098927,106.098587,113.0344218,105.8288578,105.4394704,98.05154679,83.8776284,118.5951431,80.56445523,82.7833969,44.0055648,90.93589416,39.58750055,81.29180162
"B105",91.21,91.2,92.03,11.13801779,16.85392449,31.23914183,39.32129379,5.92845414,18.27005896,58.41060103,60.68477817,64.54027268,87.78571202,79.12769788,112.6943163,59.60786964,86.35651105,102.4509575,91.12446674,103.4801769,69.96602239,72.95242669,89.84787964,66.5647627,63.48553998,39.92315485,82.842489,44.02978442,77.27983144
"B106",86.8,95.94,86.42,11.54438431,25.88102572,32.29470243,42.75255216,19.18009722,36.56496292,49.51577592,68.04877376,57.59512267,119.6052677,73.27871469,97.6103395,50.54009501,80.49275844,111.5706417,80.28154245,94.80894393,79.31719463,70.42909458,89.73212787,61.39678787,73.61245815,44.67192102,97.58225758,39.75891962,87.22168364
"B107",NA,98.37,NA,12.41518977,40.04173526,49.24620768,66.91912232,17.15835862,48.8478317,57.86832141,65.06556842,69.48736035,123.3663361,81.1242041,102.9326506,78.50642444,113.1082284,111.1023064,92.13307382,111.3274431,82.01833974,104.5601824,117.9685741,67.25112761,74.83889961,60.4546212,103.1535894,52.48004355,83.13714937
