"GENOTYPE","Winter_2013.LAe","Spring_2012.LAe","Spring_2013.LAe","Winter_2013.WD.LAl","Winter_2013.WW.LAl","Spring_2012.WD.LAl","Spring_2012.WW.LAl","Spring_2013.WD.LAl","Spring_2013.WW.LAend","Spring_2013.WW.gs_max","Spring_2013.WD.gs_max","Winter_2013.WW.gs_max","Winter_2013.WD.gs_max","Spring_2012.WW.gs_max","Spring_2012.WD.gs_max","Spring_2013.WW.Trate","Spring_2013.WD.Trate","Winter_2013.WW.Trate","Winter_2013.WD.Trate","Spring_2012.WW.Trate","Spring_2012.WD.Trate","Spring_2013.WW.Biol","Spring_2013.WD.Biol","Winter_2013.WW.Biol","Winter_2013.WD.Biol","Spring_2012.WW.Biol","Spring_2012.WD.Biol","Spring_2013.WW.WU","Spring_2013.WD.WU","Winter_2013.WW.WU","Winter_2013.WD.WU","Spring_2012.WW.WU","Spring_2012.WD.WU","Spring_2013.WW.WUE","Spring_2013.WD.WUE","Winter_2013.WW.WUE","Winter_2013.WD.WUE","Spring_2012.WW.WUE","Spring_2012.WD.WUE","Winter_2013.Be","Spring_2013.Be","Spring_2012.Be"
"11430",0.110194255,0.09203819,0.11836129,0.308847805,0.397078137,0.293702984,0.36203812,0.418099893,0.397154943,51.00336974,37.16247486,38.05054233,40.83577157,63.04474238,41.8999593,12.32291176,9.047811535,8.877877321,9.888920399,15.07794551,11.84772929,271.4519159,265.6196201,358.8164486,217.967098,299.6147986,215.9024912,4.547018211,4.342774199,2.654096157,2.062523877,4.464034667,3.107656068,48.68186436,42.18740806,79.57146806,71.5830819,51.8419342,48.74830055,67.54553973,69.9254489,65.46013506
"A3",0.116815728,0.084915855,0.103040783,0.342923696,0.380924723,0.260543626,0.367329482,0.363138996,0.341787987,44.86308214,31.59872537,44.44649064,50.10341706,58.48448106,50.00914289,11.53964456,8.267071547,9.658329849,10.03242524,14.07829981,13.33488908,255.1518832,254.5482994,342.4918392,261.335921,345.5458098,220.212057,3.793120577,3.613495714,3.115501091,2.263960509,4.058529141,2.892651633,48.39893298,49.63815634,80.13193199,80.79928757,74.28078763,52.87363633,82.0834129,63.52448712,54.47369808
"A310",0.11421126,0.078968239,0.112961742,0.32310123,0.390020483,0.245101262,0.305644032,0.401722354,0.409809231,46.29232523,32.06397766,31.31971757,39.68618899,38.64507575,33.08475393,11.18702017,8.633665476,8.400122531,8.956151604,12.86845502,10.51776898,296.5677457,303.4584544,314.3104829,220.8983125,244.6531152,196.5170056,4.380046813,3.901771959,2.578954796,1.957471475,2.901658227,2.338899636,53.29430185,57.8964576,96.84753722,80.11184327,74.9837496,59.1719731,77.30593554,73.05748838,44.82845918
"A347",0.10698628,0.084309037,0.105928805,0.295145922,0.36001276,0.268102657,0.303464777,0.349612725,0.386252335,57.88694058,37.26774621,43.31752814,51.66505681,61.06904776,60.48441163,12.26489822,8.936848572,10.4113841,11.54231182,14.59219816,13.80574842,288.7549651,221.2648345,344.3048636,201.06937,241.8766907,230.4816474,4.857857966,3.436643074,3.397081049,2.343029362,3.337869994,3.164575834,49.27662768,46.30868465,81.51528194,57.98730145,59.82881043,51.62270623,68.8083691,65.21751262,54.38892773
"A374",0.11800619,0.091136735,0.11859618,0.316812703,0.400621595,0.292989833,0.364922873,0.414885511,0.441742011,50.11383184,35.93427362,42.67375121,35.5147224,55.31127757,46.90114749,11.87960282,9.291320397,9.903482591,8.859616477,13.33063,11.94750519,314.4661781,262.8950884,369.8387756,220.0138109,295.4588258,203.2961775,4.76542827,4.209112517,3.335865588,1.92931618,3.91940549,2.853117091,52.61290449,42.68507238,86.95234751,70.79617762,64.07374195,51.3364912,82.56695493,76.39556098,51.20308161
"A375",0.099066407,0.081135937,0.100288675,0.28245919,0.398268871,0.279033066,0.32153389,0.354900322,0.381776894,51.9325161,30.65972678,43.7868047,39.7360362,63.13145121,46.7179338,11.70748598,7.969242474,9.609768138,9.266804005,14.52214557,12.54554881,255.9438777,231.2558911,330.0685694,177.6683072,278.5513009,192.0923466,4.211449312,3.274159694,3.112387855,1.725850587,3.628590977,2.800872089,47.38060424,48.32589525,84.85418734,67.52557992,63.79699126,45.40868336,67.58409776,60.55470664,57.47334666
"A554",0.102959548,0.072037517,0.114730817,0.29802091,0.35593603,0.238015926,0.283203995,0.394234,0.369433121,50.21746212,35.29375704,45.93619028,45.50230018,64.61246524,56.23499619,11.87468577,9.051975921,10.20672115,10.0486304,14.05518648,13.20499304,234.0416931,253.2110537,273.346836,220.8270041,232.1166681,172.1145218,4.049819279,3.958097384,3.020000657,2.040970963,2.955046278,2.60176554,48.21318156,44.99534951,70.22061191,76.47912755,67.66895343,48.62881772,66.51575343,67.48338848,39.76396315
"AS5707",0.092978029,0.075827429,0.1024307,0.260723448,0.334937857,0.258396501,0.276832122,0.327684023,0.381263913,45.50309122,30.49363951,37.56776987,38.07271884,54.59991602,41.99700555,10.95194415,7.824168952,9.119246704,8.87712667,13.24376297,11.32675127,287.9445543,235.0034696,272.5445898,210.5403326,225.6999466,176.2640153,4.204925304,2.984881063,2.595952922,1.769135963,2.904849825,2.345267835,59.02957785,58.19916565,88.60134478,87.94397814,64.76622478,54.30970742,63.77621,61.36647219,41.84294864
"B100",0.101643885,0.07980054,0.105810715,0.288158929,0.402654276,0.253121728,0.340645763,0.396387964,0.417888796,60.3315402,34.96264599,42.57754902,46.11201663,57.55183006,40.44966632,12.93330104,8.832309406,9.465590081,10.37001943,14.01523797,12.06351481,312.800507,238.0026379,346.6532961,227.2115077,263.8069567,180.2254112,5.212596824,3.91345591,3.082980564,2.028503378,3.712909611,2.66023767,48.90535878,41.68338795,86.51201159,78.17801052,61.18455796,48.33912805,72.47475889,67.05215772,45.11154992
"B104",0.098030382,0.090087465,0.113074625,0.247994434,0.339594878,0.292647665,0.360314882,0.363782869,0.430471084,52.6591895,35.34253989,36.35894275,38.11715306,67.52966322,48.8411491,12.41002388,9.146623945,9.567694526,9.533331517,14.33169353,13.22041115,321.7647153,243.489831,276.0935553,174.7285958,293.3093988,213.989777,5.107530569,3.557281271,2.767236267,1.556745587,3.999972268,3.139788557,47.76772914,49.78632824,73.73379367,74.22884922,59.0789782,47.877703,64.20561586,69.43167554,59.93710521
