"go_id","go_name","root_node"
"GO:0005794","Golgi apparatus","cellular_component"
"GO:0009507","chloroplast","cellular_component"
"GO:0016021","integral component of membrane","cellular_component"
"GO:0009808","lignin metabolic process","biological_process"
"GO:0009913","epidermal cell differentiation","biological_process"
"GO:0010054","trichoblast differentiation","biological_process"
"GO:0010413","glucuronoxylan metabolic process","biological_process"
"GO:0032259","methylation","biological_process"
"GO:0045492","xylan biosynthetic process","biological_process"
"GO:0048513","animal organ development","biological_process"
"GO:0048646","anatomical structure formation involved in morphogenesis","biological_process"
"GO:0050896","response to stimulus","biological_process"
"GO:0065007","biological regulation","biological_process"
"GO:0008270","zinc ion binding","molecular_function"
"GO:0016491","oxidoreductase activity","molecular_function"
"GO:0000145","exocyst","cellular_component"
"GO:0005634","nucleus","cellular_component"
"GO:0005829","cytosol","cellular_component"
"GO:0005886","plasma membrane","cellular_component"
"GO:0009504","cell plate","cellular_component"
"GO:0009506","plasmodesma","cellular_component"
"GO:0065010","extracellular membrane-bounded organelle","cellular_component"
"GO:0070062","extracellular exosome","cellular_component"
"GO:0090404","pollen tube tip","cellular_component"
"GO:0000919","cell plate assembly","biological_process"
"GO:0006096","glycolytic process","biological_process"
"GO:0006260","DNA replication","biological_process"
"GO:0006278","RNA-dependent DNA biosynthetic process","biological_process"
"GO:0006623","protein targeting to vacuole","biological_process"
"GO:0006833","water transport","biological_process"
"GO:0006904","vesicle docking involved in exocytosis","biological_process"
"GO:0006972","hyperosmotic response","biological_process"
"GO:0007030","Golgi organization","biological_process"
"GO:0009266","response to temperature stimulus","biological_process"
"GO:0009651","response to salt stress","biological_process"
"GO:0009886","post-embryonic animal morphogenesis","biological_process"
"GO:0010102","lateral root morphogenesis","biological_process"
"GO:0042814","monopolar cell growth","biological_process"
"GO:0046686","response to cadmium ion","biological_process"
"GO:0048193","Golgi vesicle transport","biological_process"
"GO:0048354","mucilage biosynthetic process involved in seed coat development","biological_process"
"GO:0048569","post-embryonic animal organ development","biological_process"
"GO:0048767","root hair elongation","biological_process"
"GO:1901703","protein localization involved in auxin polar transport","biological_process"
"GO:0003677","DNA binding","molecular_function"
"GO:0005089","Rho guanyl-nucleotide exchange factor activity","molecular_function"
"GO:0004672","protein kinase activity","molecular_function"
"GO:0005509","calcium ion binding","molecular_function"
"GO:0005524","ATP binding","molecular_function"
"GO:0006468","protein phosphorylation","biological_process"
"GO:0007166","cell surface receptor signaling pathway","biological_process"
"GO:0016043","cellular component organization","biological_process"
"GO:0032502","developmental process","biological_process"
"GO:0005694","chromosome","cellular_component"
"GO:0005856","cytoskeleton","cellular_component"
"GO:0012505","endomembrane system","cellular_component"
"GO:0016020","membrane","cellular_component"
"GO:0042995","cell projection","cellular_component"
"GO:0043234",NA,NA
"GO:0044422",NA,NA
"GO:0044444",NA,NA
"GO:0042631","cellular response to water deprivation","biological_process"
"GO:0044238","primary metabolic process","biological_process"
"GO:0044260","cellular macromolecule metabolic process","biological_process"
"GO:0044763",NA,NA
"GO:0048731","system development","biological_process"
"GO:0050794","regulation of cellular process","biological_process"
"GO:0071472","cellular response to salt stress","biological_process"
"GO:0016787","hydrolase activity","molecular_function"
"GO:0000151","ubiquitin ligase complex","cellular_component"
"GO:0002679","respiratory burst involved in defense response","biological_process"
"GO:0009414","response to water deprivation","biological_process"
"GO:0009743","response to carbohydrate","biological_process"
"GO:0010200","response to chitin","biological_process"
"GO:0051865","protein autoubiquitination","biological_process"
"GO:0004842","ubiquitin-protein transferase activity","molecular_function"
"GO:0005488","binding","molecular_function"
"GO:0016881","acid-amino acid ligase activity","molecular_function"
"GO:0003735","structural constituent of ribosome","molecular_function"
"GO:0005840","ribosome","cellular_component"
"GO:0006412","translation","biological_process"
"GO:0000271","polysaccharide biosynthetic process","biological_process"
"GO:0006508","proteolysis","biological_process"
"GO:0006546","glycine catabolic process","biological_process"
"GO:0030163","protein catabolic process","biological_process"
